main_ID,Tipo,Año,Estado,Solicitudes Recibidas,Activos con Consumos
1,DIESEL,2014,BAJA CALIFORNIA,65,55
2,DIESEL,2014,BAJA CALIFORNIA SUR,13,13
3,DIESEL,2014,CAMPECHE,99,94
4,DIESEL,2014,CHIAPAS,1,1
5,DIESEL,2014,COLIMA,21,19
6,DIESEL,2014,JALISCO,0,0
7,DIESEL,2014,NAYARIT,10,9
8,DIESEL,2014,OAXACA,31,30
9,DIESEL,2014,QUINTANA ROO,35,33
10,DIESEL,2014,SINALOA,766,750
11,DIESEL,2014,SONORA,351,339
12,DIESEL,2014,TABASCO,23,23
13,DIESEL,2014,TAMAULIPAS,180,179
14,DIESEL,2014,VERACRUZ,58,55
15,DIESEL,2014,YUCATAN,409,336
16,DIESEL,2015,BAJA CALIFORNIA,74,66
17,DIESEL,2015,BAJA CALIFORNIA SUR,13,13
18,DIESEL,2015,CAMPECHE,98,95
19,DIESEL,2015,CHIAPAS,3,3
20,DIESEL,2015,COLIMA,22,20
21,DIESEL,2015,NAYARIT,10,7
22,DIESEL,2015,OAXACA,31,31
23,DIESEL,2015,QUINTANA ROO,34,34
24,DIESEL,2015,SINALOA,804,789
25,DIESEL,2015,SONORA,364,349
26,DIESEL,2015,TABASCO,22,22
27,DIESEL,2015,TAMAULIPAS,182,181
28,DIESEL,2015,VERACRUZ,53,52
29,DIESEL,2015,YUCATAN,385,352
