main_ID,Ano,Beneficiario,RFC,RNPA,Estado,Municipio,Localidad,Monto
,2011,11 DE DICIEMBRE DE 1996 SPR DE RI,ODM971201ST1,,SONORA,CAJEME,CIUDAD OBREGON,300000
,2011,ABRAHAM BARCELO JORGE BAIDABE,,,YUCATAN,DZILAM DE BRAVO,DZILAM DE BRAVO,254000
,2011,ACCION ACUACULTURA,ACC070701IDA,,SONORA,CAJEME,CIUDAD OBREGON,1070000
,2011,ACCIÓN ACUACULTURA SA DE CV . .,AAC990902IX9,,SONORA,CAJEME,CIUDAD OBREGON,170000
,2011,ACOSTA DIAZ JESUS ALBERTO,,,SINALOA,CULIACAN,CULIACAN ROSALES,60000
,2011,ACOSTA OLSON JESUS,,,SINALOA,AHOME,TOPOLOBAMPO,410000
,2011,"ACUACAM, SA DE CV",ACU930401515,,TAMAULIPAS,TAMPICO,TAMPICO,336000
,2011,"ACUACOM, SC DE RL DE CV",ACU0608215F1,,SINALOA,CULIACAN,CULIACAN ROSALES,306000
,2011,ACUACULTIVO EL TORAL SA DE CV,ATO990616,,TAMAULIPAS,TAMPICO,TAMPICO,296000
,2011,"ACUACULTORES DE LA LOMA, S.A DE C.V",ALO961219DH9,,SINALOA,NAVOLATO,LAS AGUAMITAS,120000
,2011,ACUACULTORES DE LA REFORMA S.A. DE C.V,ARE060404DS9,,SINALOA,ANGOSTURA,LA REFORMA,108000
,2011,ACUACULTORES DEL EVORA SC DE RL DE CV,AEV030731PC3,,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,640000
,2011,ACUACULTORES DEL QUINTO DIA SPR DE RL (GRANJA CHICURA),AQD041012M68,,SINALOA,AHOME,LOS MOCHIS,1063600
,2011,ACUACULTURA BIOTECNOLOGICA SA DE CV,ABS9803312K3,,SONORA,CAJEME,CIUDAD OBREGON,232000
,2011,"ACUACULTURA DE BAJA CALIFORNIA, S.A. DE C.V.",ABC001108DB9,,BAJA CALIFORNIA,ENSENADA,EL SAUZAL DE RODRIGUEZ,3600000
,2011,"ACUACULTURA EL DORADO, S.A. DE C.V.",ADO940309NQ3,,SINALOA,CULIACAN,ELDORADO,280000
,2011,"ACUACULTURA INTEGRAL DEL PETATLAN, S.A. DE C.V.",AIP990201AG8,,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,360000
,2011,"ACUACULTURA TECNIFICADA DE TAMAULIPAS, S.A DE C.V",ATT9207178V5,,TAMAULIPAS,ALDAMA,ALDAMA,360000
,2011,"ACUAGRICOLA DEL NOROESTE, S.A. DE C.V.",ANX990309D95,,SINALOA,CULIACAN,CULIACAN ROSALES,320000
,2011,"ACUASHRIMP, SPR DE RI",ASR9901138W8,,SINALOA,AHOME,SAN LORENZO VIEJO,480000
,2011,ACUASISTEMAS INTEGRALES SA DE CV,AIN0309055H1,,SINALOA,CULIACAN,ELDORADO,60000
,2011,"ACUICOLA 11 DE DICIEMBRE, SA DE CV",AOD971208C10,,SONORA,CAJEME,CIUDAD OBREGON,290000
,2011,ACUICOLA ALCATRAZ SA DE CV,AAL030829R93,,SONORA,HERMOSILLO,HERMOSILLO,680000
,2011,ACUICOLA BAJA MAR SA DE CV,ABM9807248A0,,SINALOA,AHOME,LOS MOCHIS,140000
,2011,ACUICOLA BLUE SHRIMP SPR DE RL,ABS0804152T8,,SINALOA,AHOME,LOS MOCHIS,41800
,2011,ACUICOLA BUENA VISTA SA DE CV,ABV0402179B9,,SINALOA,GUASAVE,CASA BLANCA,318400
,2011,"ACUICOLA CAMACOA, SPR DE RI",ACP9502151V3,,SINALOA,AHOME,LOS MOCHIS,470400
,2011,ACUICOLA CAMARGO SA DE CV,ACA080313585,,SINALOA,AHOME,LOS MOCHIS,154000
