Localidades  Isla (Localidades ubicadas en un municipio y que administrativamente pertenecen a otro),,,,,,,,
,,,,,,,,
PERTENENCIA ADMINISTRATIVA,,,,,UBICACIÓN ESPACIAL,,,
CLAVE ENTIDAD,CLAVE MUNICIPIO,CLAVE LOCALIDAD,CLAVE AGEB,NOMBRE DE LOCALIDAD,CLAVE ENTIDAD,CLAVE MUNICIPIO,NOMBRE MUNICIPIO,
07,013,0007,002-A,Allende Esquipulas,07,047,Jitotol,
07,013,0124,002-A,San José Mujular,07,073,Rayón,
07,016,0299,011-0,Cuauhtemoc Quemado,07,065,Palenque,
07,022,0032,002-9,Tzomoltón,07,026,Chenalhó,
07,023,0012,002-6,Callejón,07,049,Larráinzar,
07,023,0100,003-0,Jomtealhó,07,056,Mitontic,
07,023,0112,003-0,Rasién,07,078,San Cristóbal de las Casas,
07,023,0113,003-0,Tichen,07,026,Chenalhó,
07,023,0127,003-0,Bashequen,07,026,Chenalhó,
07,033,0004,003-7,Azapac Amatal,07,092,Tecpatán,
07,033,0029,003-7,Paraíso,07,092,Tecpatán,
07,039,0048,004-5,El Ocotal,07,081,Simojovel,
07,041,0566,006-2,El Porvenir,07,052,Las Margaritas,
07,041,0572,012-8,Santa Martha,07,099,La Trinitaria,
07,047,0153,003-2,El Sumidero (Campo Alegre),07,014,El Bosque,
07,052,0312,030-A,Santa Margarita Agua Azul,07,115,Maravilla Tenejapa,
07,052,0335,023-A,San Mateo Zapotal,07,115,Maravilla Tenejapa,
07,052,0464,032-9,San Rafael,07,041,La Independencia,
07,052,0869,033-3,La Esmeralda de los Cipreses,07,041,La Independencia,
07,052,0902,013-6,Victórico R. Grajales,07,004,Altamirano,
07,055,0005,001-5,Los Hules,07,102,Tuxtla Chico,
07,057,0575,006-2,La Ceiba,07,103,Tuzantán,
07,059,2054,091-7,Emiliano Zapata,07,052,Las Margaritas,
07,059,2981,024-5,La Flor de Getzemaní,07,031,Chilón,
27,068,0102,002-8,Platanar Abajo 2da. Sección (Unidad Chiapaneca),27,008,Huimanguillo,
07,075,0036,005-6,San Mateo,07,019,Comitán de Domínguez,
07,076,0127,002-A,San Juan el Mirador,07,039,Huitiupán,
07,081,0271,002-A,Jotolchén Dos (Planada Naranjal),07,118,San Andrés Duraznal,
07,081,0301,003-4,Río Blanco,07,066,Pantelhó,
07,081,0309,004-9,El Sabinal,07,014,El Bosque,
07,081,0311,003-4,Tepeyac,07,066,Pantelhó,
07,081,0364,004-9,Guadalupe Victoria I,07,014,El Bosque,
07,083,0197,008-1,Tierra y Libertad,07,104,Tzimol,
07,083,0210,008-1,San Pedro Pedernal,07,104,Tzimol,
07,089,1018,029-7,Dorados de Villa,07,054,Mazatán,
07,097,1527,021-2,"Isla, Mar y Tierra",07,069,Pijijiapan,
07,099,1044,009-6,Nuevo Paraíso,07,052,Las Margaritas,
07,100,0063,004-6,Arroyo Agua Azul,07,031,Chilón,
07,103,0215,001-4,Villa Hidalgo,07,089,Tapachula,
07,112,0034,003-2,San Juan Bawitz,07,031,Chilón,
07,118,0003,002-1,Jotolchén,07,081,Simojovel,
12,001,0242,204-5,Bella Vista Papagayo,12,053,San Marcos,
12,001,0493,204-5,La Arena,12,053,San Marcos,
12,001,0680,191-6,Rancho Alfonso Catalán,12,021,Coyuca de Benítez,
12,001,0694,199-2,Rancho el Tamarindillo,12,053,San Marcos,
12,002,0157,014-A,La Lobera,12,045,Olinalá,
12,002,0182,017-3,Naranjastitlán,12,045,Olinalá,
12,003,0007,045-2,Barranca Honda,12,054,San Miguel Totolapan,
12,003,0008,031-0,Cacahuananche,12,022,Coyuca de Catalán,
12,003,0160,045-2,El Zapotal,12,054,San Miguel Totolapan,
12,003,0195,045-2,Pinzanal,12,054,San Miguel Totolapan,
12,003,0198,033-A,San Marcos Oriente,12,054,San Miguel Totolapan,
