Localidades Rurales Amanzanadas que rebasan su Ageb,,,,,,,
,,,,,,,
Clave Entidad,Clave Municipio,Clave Localidad,Clave Ageb,Nombre Geográfico,,,
01,001,0120,125-0,Buenavista de Peñuelas,,,
01,001,0659,106-8,Lomas del Picacho,,,
01,001,1178,113-8,Granjas Fátima,,,
01,002,0030,003-3,Lázaro Cárdenas,,,
01,002,0034,006-7,Las Negritas,,,
01,004,0030,003-8,El Salero,,,
01,004,0032,003-8,Santa María de la Paz,,,
01,005,0019,007-3,Cieneguitas,,,
01,005,0084,003-5,San Antonio de los Horcones,,,
01,005,0106,005-4,La Tomatina,,,
01,005,0126,001-6,El Aurero,,,
01,006,0002,001-3,Las Ánimas,,,
01,007,0027,003-A,Morelos,,,
01,007,0028,007-8,Estancia de Mosqueira,,,
01,008,0023,014-5,San Antonio de los Ríos,,,
01,009,0022,003-4,Puerto de la Concepción,,,
01,010,0074,011-A,El Retoño,,,
01,011,0006,008-5,Borrotes,,,
02,001,0124,992-2,Isla de Cedros,,,
02,001,0590,692-8,Ejido Zarahemla,,,
02,001,1266,621-8,San Antonio Necua (Cañada de los Encinos),,,
02,001,3381,655-7,Ejido el Ajusco,,,
02,001,4444,992-2,El Morro,,,
02,001,4635,647-2,Colonia Esperanza (Cañón San Carlos),,,
02,001,5147,654-2,Francisco Villa,,,
02,002,0143,357-9,Ejido Colima 1,,,
02,002,0157,357-9,Ejido Chiapas 1,,,
02,002,0186,345-6,Ejido Guanajuato,,,
02,002,0211,349-4,Ejido Lázaro Cárdenas (La Mosca),,,
02,002,0212,357-9,Poblado Lázaro Cárdenas (La Veintiocho),,,
02,002,0229,346-0,Islas Agrarias Grupo A,,,
02,002,0255,357-9,Colonia Pescaderos (Campo la Catorce),,,
02,002,0258,367-2,Ejido Plan de Ayala,,,
02,002,0270,348-A,Ejido Quintana Roo,,,
02,002,0311,351-1,Colonia José María Rodríguez Mérida (La Panga),,,
02,002,0327,346-0,Ejido Netzahualcóyotl,,,
02,002,0393,362-A,Colonia el Triángulo,,,
02,002,0516,346-0,Represa Aurelio Benansini (Carehey),,,
02,002,0521,348-A,Poblado Francisco Santana Peralta,,,
02,002,1273,348-A,Ejido Tehuantepec (Santa Rosa),,,
02,002,1278,357-9,Ejido Chiapas 3,,,
02,002,1543,356-4,El Chorizo,,,
02,002,2616,356-4,Zona del Canal (Veracruz Dos),,,
02,002,4695,346-0,Nuevo Milenium,,,
02,002,4747,337-1,Los Manantiales,,,
02,002,4925,354-5,Renacimiento del Valle,,,
02,002,4987,357-9,Rodríguez [Colonia],,,
02,003,0089,068-A,Paso del Águila,,,
02,003,0107,072-6,La Rumorosa,,,
02,003,0139,082-A,Valle de las Palmas,,,
02,003,0887,069-4,Villas Campestre,,,
02,003,0933,070-7,Loma Tova,,,
02,003,1615,069-4,Los Laureles,,,
02,004,0725,216-6,Buenos Aires,,,
02,004,0742,216-6,Hacienda los Venados,,,
02,004,1348,502-9,Cuesta Blanca,,,
02,004,1351,502-9,San Antonio,,,
02,004,1614,213-2,Ejido Javier Rojo Gómez,,,
02,004,1641,214-7,Ejido Morelos (La Fuente),,,
02,004,1755,216-6,Batalla Nacional,,,
02,004,1778,505-2,Ejido Lázaro Cárdenas,,,
02,004,1861,505-2,Los Alcatraces,,,
02,004,1892,505-2,Ampliación Ejido Lázaro Cárdenas,,,
02,004,1934,214-7,Lomas de San Pedro,,,
02,004,1961,502-9,Ley del Servicio Civil,,,
02,005,0008,006-3,El Campito,,,
02,005,0012,001-0,Campo Torres,,,
02,005,0025,006-3,Santa Anita,,,
02,005,0037,003-A,Ciudad Morelos,,,
02,005,0056,004-4,Las Gaviotas,,,
02,005,0225,002-5,Cumbre del Mar,,,
03,003,0418,278-4,Buenos Aires,,,
03,003,0944,263-8,Melitón Albáñez Domínguez,,,
03,003,2368,256-8,Los Bledales (La Ceibita),,,
03,003,2515,276-5,Palo Blanco,,,
03,003,2530,256-8,Colonia 28 de Octubre (Kilómetro 6),,,
03,008,0048,052-A,Buenavista,,,
03,008,1355,064-2,Colonia Real del Monte,,,
04,001,0012,020-3,Santa Cruz Ex-Hacienda,,,
04,002,0093,084-0,San Agustín Olá,,,
04,003,0031,166-8,Santa Rita,,,
04,003,0058,227-6,Abelardo L. Rodríguez,,,
04,003,3420,274-0,Nueva Chontalpa,,,
04,003,3430,277-4,Ojo de Agua,,,
04,003,3781,143-7,El Arca,,,
04,004,0005,111-4,Canasayab,,,
04,004,0012,127-5,Profesor Graciano Sánchez,,,
04,004,0043,109-7,Vicente Guerrero,,,
04,004,0047,127-5,Xbacab,,,
04,004,0130,117-1,Cañaveral,,,
04,004,1701,118-6,Dzitbalché Castellot,,,
04,004,2157,108-2,Nuevo Michoacán,,,
04,004,2308,121-8,Pablo García,,,
04,005,0003,017-0,Chunkanán,,,
04,006,0800,049-8,Santa Rosa [Campo Menonita],,,
04,006,0913,061-9,El Paraíso,,,
04,007,0169,041-9,Santa Cruz,,,
04,008,0003,018-7,Kankí,,,
04,009,0018,022-0,La Asunción,,,
04,009,0108,035-8,Don Samuel,,,
04,009,0131,023-5,La Esperanza,,,
04,009,0170,034-3,Guadalajara,,,
04,009,0255,025-4,El Lechugal,,,
04,009,0941,060-6,Centenario,,,
04,009,0965,062-5,Adolfo López Mateos,,,
04,009,0968,061-0,José López Portillo,,,
04,009,1862,061-0,Emiliano Zapata,,,
04,010,0064,013-2,Concepción,,,
04,010,0066,013-2,Constitución,,,
04,010,0097,033-A,Hermenegildo Galeana,,,
04,010,0100,031-0,Eugenio Echeverría Castellot (El Carrizal),,,
04,010,0154,031-0,Niños Héroes,,,
04,010,0191,012-8,Puebla de Morelia,,,
04,011,0355,021-4,El Naranjo,,,
04,011,0680,017-8,Venustiano Carranza,,,
04,011,0696,016-3,Primer Presidente de México (Guadalupe Victoria),,,
05,004,0007,016-3,Artesillas,,,
05,004,0082,017-8,El Poleo,,,
05,006,0044,076-A,Presa de Chaires,,,
05,006,0071,058-1,Soledad,,,
05,006,0273,090-A,Espinazo,,,
05,007,0018,110-6,San Juan de Boquillas (San Juan),,,
05,009,0003,076-1,Alamito,,,
05,009,0010,045-6,Buenavista de Arriba,,,
05,009,0021,041-8,Finisterre,,,
05,009,0036,076-1,Nuevo León,,,
05,009,0042,043-7,Saloña (Tres Norias),,,
05,009,0050,044-1,Santa María (Santa María de Arriba),,,
05,009,0053,045-6,Seis de Octubre (Santo Niño),,,
05,009,0091,042-2,La Nueva Trinidad,,,
05,010,0002,010-3,La Cruz,,,
05,010,0176,010-3,Colonia Diana Laura Riojas de Colosio,,,
05,010,0222,041-9,San Antonio (Nuevo Paraíso),,,
05,011,0027,044-A,Presa de Guadalupe (Guadalupe),,,
05,011,0038,033-1,Marte (Estación Marte),,,
05,012,0021,034-3,Guadalupe,,,
05,014,0016,042-2,La Potasa,,,
05,014,0022,042-2,Santa María,,,
