main_ID,Año,Folio,Fecha,Estado,Municipio,Localidad,Lugar,Tipo,Instrumento,Estatus,Especie
1,2011,,,BAJA CALIFORNIA,ENSENADA,LA BUFADORA,EJIDO ESTEBAN CANTU,,,ATENDIDO,
2,2011,,,BAJA CALIFORNIA,MEXICALI,SAN FELIPE,MUELLE,,,ATENDIDO,
3,2011,,,BAJA CALIFORNIA,MEXICALI,SAN FELIPE,MALECON Y MUELLES,,,ATENDIDO,
4,2011,,,BAJA CALIFORNIA,ENSENADA,EL ROSARIO DE ABAJO,PUNTA BAJA,,,ATENDIDO,
5,2011,,,BAJA CALIFORNIA SUR,COMONDU,CIUDAD CONSTITUCION,LA BOCANA,,,ATENDIDO,
6,2011,,,BAJA CALIFORNIA SUR,COMONDU,PUERTO MAGDALENA,BAHIA MAGDELENA,,,ATENDIDO,
7,2011,,,BAJA CALIFORNIA SUR,COMONDU,PUERTO MAGDALENA,PUERTO SAN CARLOS,,,ATENDIDO,
8,2011,,,CAMPECHE,CAMPECHE,BETHANIA,NO ESPECIFICADO,,,ATENDIDO,
9,2011,,,CAMPECHE,CAMPECHE,SAN FRANCISCO DE CAMPECHE,LERMA,,,ATENDIDO,
10,2011,,,CAMPECHE,CAMPECHE,SAN FRANCISCO DE CAMPECHE,OFICINAS,,,ATENDIDO,
11,2011,,,CAMPECHE,CHAMPOTON,CHAMPOTON,FRENTE AL SALON CORAL,,,ATENDIDO,
12,2011,,,CHIAPAS,TONALA,BOCA DEL CIELO,RANCHO SAN RAMON,,,ATENDIDO,
13,2011,,,COLIMA,COLIMA,EL ASTILLERO DE ABAJO,CERRITOS,,,ATENDIDO,
14,2011,,,COLIMA,TECOMAN,TECOMAN,TECOMAN,,,ATENDIDO,
15,2011,,,GUANAJUATO,LEON,LEON DE LOS AL DAMA,LEON,,,ATENDIDO,
16,2011,,,GUANAJUATO,ACAMBARO,IRAMUCO,LAGO DE CUITZEO,,,ATENDIDO,
17,2011,,,GUANAJUATO,YURIRIA,ARAGON,LANGOSTURA,,,ATENDIDO,
