main_ID,Año,Estado,Tipo,Cantidad
1,2009,AGUASCALIENTES,EMBARCACION MENOR,1
2,2010,AGUASCALIENTES,EMBARCACION MENOR,1
3,2011,AGUASCALIENTES,EMBARCACION MENOR,1
4,2012,AGUASCALIENTES,EMBARCACION MENOR,1
5,2013,AGUASCALIENTES,EMBARCACION MENOR,1
6,2009,BAJA CALIFORNIA,EMBARCACION MENOR,2
7,2010,BAJA CALIFORNIA,EMBARCACION MENOR,2
8,2011,BAJA CALIFORNIA,EMBARCACION MENOR,3
9,2012,BAJA CALIFORNIA,EMBARCACION MENOR,3
10,2013,BAJA CALIFORNIA,EMBARCACION MENOR,3
11,2009,BAJA CALIFORNIA SUR,EMBARCACION MENOR,2
12,2010,BAJA CALIFORNIA SUR,EMBARCACION MENOR,2
13,2011,BAJA CALIFORNIA SUR,EMBARCACION MENOR,2
14,2012,BAJA CALIFORNIA SUR,EMBARCACION MENOR,2
15,2013,BAJA CALIFORNIA SUR,EMBARCACION MENOR,2
16,2009,CAMPECHE,EMBARCACION MENOR,3
17,2010,CAMPECHE,EMBARCACION MENOR,3
18,2011,CAMPECHE,EMBARCACION MENOR,4
19,2012,CAMPECHE,EMBARCACION MENOR,4
20,2013,CAMPECHE,EMBARCACION MENOR,4
21,2009,CHIAPAS,EMBARCACION MENOR,2
22,2010,CHIAPAS,EMBARCACION MENOR,2
23,2011,CHIAPAS,EMBARCACION MENOR,2
24,2012,CHIAPAS,EMBARCACION MENOR,2
25,2013,CHIAPAS,EMBARCACION MENOR,2
26,2009,CHIHUAHUA,EMBARCACION MENOR,1
27,2010,CHIHUAHUA,EMBARCACION MENOR,1
28,2011,CHIHUAHUA,EMBARCACION MENOR,1
29,2012,CHIHUAHUA,EMBARCACION MENOR,1
30,2013,CHIHUAHUA,EMBARCACION MENOR,1
31,2009,COAHUILA,EMBARCACION MENOR,1
32,2010,COAHUILA,EMBARCACION MENOR,1
33,2011,COAHUILA,EMBARCACION MENOR,1
34,2012,COAHUILA,EMBARCACION MENOR,1
35,2013,COAHUILA,EMBARCACION MENOR,1
36,2009,COLIMA,EMBARCACION MENOR,2
37,2010,COLIMA,EMBARCACION MENOR,2
38,2011,COLIMA,EMBARCACION MENOR,2
39,2012,COLIMA,EMBARCACION MENOR,2
40,2013,COLIMA,EMBARCACION MENOR,2
41,2009,ESTADO DE MEXICO,EMBARCACION MENOR,1
42,2010,ESTADO DE MEXICO,EMBARCACION MENOR,1
43,2011,ESTADO DE MEXICO,EMBARCACION MENOR,1
44,2012,ESTADO DE MEXICO,EMBARCACION MENOR,1
45,2013,ESTADO DE MEXICO,EMBARCACION MENOR,1
46,2009,GUANAJUATO,EMBARCACION MENOR,1
