main_ID,Estado,Apellido paterno,Apellido materno,Nombre,Puesto
1,AGUASCALIENTES,GONZALEZ,RAHAL,CLAUDIA GABRIELA,OFICIAL DE PESCA
2,BAJA CALIFORNIA,GARCIA,HEREDIA,MIGUEL,OFICIAL DE PESCA
3,BAJA CALIFORNIA,CABALLERO,TERRAZAS,MARIA AMPARO DE DIOS,OFICIAL DE PESCA
4,BAJA CALIFORNIA,CORREA,MORENO,ROBERTO CARLOS,OFICIAL DE PESCA
5,BAJA CALIFORNIA,TIRADO,DOMINGUEZ,JESUS AARON,OFICIAL DE PESCA
6,BAJA CALIFORNIA,RAMIREZ,SANCHEZ,ARTURO,OFICIAL DE PESCA
7,BAJA CALIFORNIA,ROJAS,LOPEZ,CARLOS CESAR,OFICIAL DE PESCA
8,BAJA CALIFORNIA,REYES,JUAREZ,LORELEY,OFICIAL DE PESCA
9,BAJA CALIFORNIA,ITURBIDE,MURO,FERNANDO,OFICIAL DE PESCA
10,BAJA CALIFORNIA,GARAY,ORTIZ,SAMUEL,OFICIAL DE PESCA
11,BAJA CALIFORNIA,PEÑUELAS,RIVERA,LUIS ANTONIO,OFICIAL DE PESCA
12,BAJA CALIFORNIA,MALDONADO,PONCE,ROLDAN,OFICIAL DE PESCA
13,BAJA CALIFORNIA,LIZARRAGA,OSUNA,OSCAR RAMON,OFICIAL DE PESCA
14,BAJA CALIFORNIA SUR,ALONSO,ZAZUETA,CARLOS JAVIER,OFICIAL DE PESCA
15,BAJA CALIFORNIA SUR,QUINTANA,GARCIA,IRAN LORENZO,OFICIAL DE PESCA
16,BAJA CALIFORNIA SUR,MARTINEZ,VAZQUEZ,VICTOR HUGO,OFICIAL DE PESCA
17,BAJA CALIFORNIA SUR,YAÑEZ,LOPEZ,SAYL ALEJANDRO,OFICIAL DE PESCA
18,BAJA CALIFORNIA SUR,ARELLANO,LOAEZA,JESUS MANUEL,OFICIAL DE PESCA
19,BAJA CALIFORNIA SUR,DOMINGUEZ,ANGULO,LIZANDRO VIDAL,OFICIAL DE PESCA
20,BAJA CALIFORNIA SUR,RAMIREZ,DIAZ,ANDRES,OFICIAL DE PESCA
21,BAJA CALIFORNIA SUR,GUEVARA,LIZARRAGA,OMAR,OFICIAL DE PESCA
22,BAJA CALIFORNIA SUR,ARANGURE,VARGAS,NESTOR FABIAN,OFICIAL DE PESCA
23,BAJA CALIFORNIA SUR,ZEGER,PALMA,RICARDO,OFICIAL DE PESCA
24,BAJA CALIFORNIA SUR,ZAPATA,ESTRADA,JOEL ENRIQUE,OFICIAL DE PESCA
25,BAJA CALIFORNIA SUR,SOLORZANO,OSORIO,JESUS,OFICIAL DE PESCA
26,BAJA CALIFORNIA SUR,CASTRO,CAMACHO,HECTOR MANUEL,OFICIAL DE PESCA
27,BAJA CALIFORNIA SUR,MONTES DE OCA,GONZALEZ,MIGUEL ANGEL,OFICIAL DE PESCA
28,BAJA CALIFORNIA SUR,RAMIREZ,SALAZAR,OSCAR,OFICIAL DE PESCA
29,CAMPECHE,CORTES,ALVITER,ARELI,OFICIAL DE PESCA
30,CAMPECHE,MARTINEZ,CARRILLO,MAX ALBERTO,OFICIAL DE PESCA
31,CAMPECHE,AMADOR,ABARCA,GERARDO,OFICIAL DE PESCA
32,CAMPECHE,PROAL,BONDANI,ROBERTO FEDERICO,OFICIAL DE PESCA
33,CAMPECHE,MARMOLEJO,PEREZ,BENJAMIN,OFICIAL DE PESCA
34,CAMPECHE,CARLON,SAMBRANO,SAMUEL,OFICIAL DE PESCA
35,CAMPECHE,ROCHA,LOPEZ,VICTOR MANUEL,OFICIAL DE PESCA
36,CAMPECHE,HERNANDEZ,YAU,JUAN ANTONIO,OFICIAL DE PESCA
37,CAMPECHE,RENDON,LOPEZ,GILDARDO ESTEBAN,OFICIAL DE PESCA
38,CHIAPAS,DAMIAN,GARCIA,FERNANDO ARTURO,OFICIAL DE PESCA
39,CHIAPAS,MORALES,CRUZ,ALFREDO,OFICIAL DE PESCA
40,CHIAPAS,SANCHEZ,VILLA,ABRAHAM,OFICIAL DE PESCA
41,CHIAPAS,REYES,ARRAMBIDE,JOSE,OFICIAL DE PESCA
42,CHIAPAS,,SALAZAR,LUIS EDUARDO,OFICIAL DE PESCA
43,CHIHUAHUA,CRUZ,BAILON,SILVIA,OFICIAL DE PESCA
44,CHIHUAHUA,DELGADO,ROBLES,JOSE ANGEL,OFICIAL DE PESCA
45,COAHUILA,URIAS,LEYVA,HOMERO,OFICIAL DE PESCA
46,COLIMA,REYES,CASTRO,HUGO IVAN,OFICIAL DE PESCA
47,COLIMA,ROMERO,FIGUEROA,JOSE ALDO,OFICIAL DE PESCA
48,COLIMA,TELLES,ARGUMANIZ,JULIO CESAR,OFICIAL DE PESCA
49,CONAPESCA,POLLORENA,AUDEVES,MIKE GRAEL,OFICIAL DE PESCA
50,CONAPESCA,LEYVA,VILLARREAL,LAURA MONSERRAT,OFICIAL DE PESCA
51,CONAPESCA,PAEZ,OSUNA,EDITH MARIA,OFICIAL DE PESCA
52,CONAPESCA,PALOMARES,DOMINGUEZ,TERESA DE JESUS,OFICIAL DE PESCA
53,CONAPESCA,PERAZA,OSUNA,SIGFRIDO,OFICIAL DE PESCA
54,CONAPESCA,PERAZA,PERAZA,MARIA DEL ROSARIO,OFICIAL DE PESCA
55,CONAPESCA,RIOS,OSUNA,JOSE MARIA,OFICIAL DE PESCA
56,CONAPESCA,ROSAS,DE LA ROSA,SANDRA LUZ,OFICIAL DE PESCA
57,CONAPESCA,SANCHEZ,SAINZ,HECTOR ABRAHAM,OFICIAL DE PESCA
58,CONAPESCA,TIRADO,ESTRADA,OSCAR,OFICIAL DE PESCA
59,CONAPESCA,VEGA,DE LA VEGA,IRMA GEORGINA,OFICIAL DE PESCA
60,CONAPESCA,MENDOZA,BERNAL,RODOLFO OMAR,OFICIAL DE PESCA
61,CONAPESCA,GALLARDO,AGUIRRE,ENRIQUE,OFICIAL DE PESCA
62,CONAPESCA,CRUZ,DE LA CRUZ,JUAN PAUL,OFICIAL DE PESCA
63,CONAPESCA,LEYVA,GASTELUM,KARLOS FABRICIO,OFICIAL DE PESCA
64,DISTRITO FEDERAL,REYES,EMETERIO,ISMAEL,OFICIAL DE PESCA
65,DISTRITO FEDERAL,LOZADA,GARCIA,JESUS,OFICIAL DE PESCA
66,DISTRITO FEDERAL,OROPEZA,VILLALOBOS,EDITH,OFICIAL DE PESCA
67,DISTRITO FEDERAL,CALDERON,JIMENEZ,GUADALUPE,OFICIAL DE PESCA
68,DISTRITO FEDERAL,PEDRAZA,PALESTINA,XOCHITL,OFICIAL DE PESCA
69,DURANGO,PALMA,CRUZ,ROBERTO,OFICIAL DE PESCA
70,ESTADO DE MEXICO,CRUZ,RIOS,JOAQUIN ALBERTO,OFICIAL DE PESCA
71,ESTADO DE MEXICO,HERNANDEZ,CONTRERAS,LUIS FERNANDO,OFICIAL DE PESCA
72,GUERRERO,ALVAREZ,AVILA,FRANCISCO,OFICIAL DE PESCA
73,GUERRERO,CRUZ,GARCIA,FERNANDO,OFICIAL DE PESCA
74,GUERRERO,GALVEZ,LEAL,MANUEL DE JESUS,OFICIAL DE PESCA
75,GUERRERO,AGUILAR,BECERRA,JUAN JOSE,OFICIAL DE PESCA
76,JALISCO,FLORES,RODRIGUEZ,ALFONSO ANTONIO,OFICIAL DE PESCA
77,JALISCO,GAVILANES,DOMINGUEZ,JESUS FERNANDO,OFICIAL DE PESCA
78,JALISCO,LIZARRAGA,ASTORGA,MIGUEL ALBERTO,OFICIAL DE PESCA
79,JALISCO,GARCIA,OSUNA,JORGE ARTURO,OFICIAL DE PESCA
80,JALISCO,PEÑUELAS,ROMAN,MANUEL IGNACIO,OFICIAL DE PESCA
81,JALISCO,GAYTAN,SANCHEZ,OSCAR,OFICIAL DE PESCA
82,JALISCO,VILLEGAS,BELTRAN,JUANA ESTHER,OFICIAL DE PESCA
83,JALISCO,LIBREROS,GONZALEZ,MARIA DOLORES,OFICIAL DE PESCA
84,JALISCO,LEYVA,LEYVA,FIDEL ANTONIO,OFICIAL DE PESCA
85,MICHOACAN,ESPINOZA,VILLEGAS,LUIS ALBERTO,OFICIAL DE PESCA
86,MICHOACAN,ROJAS,BARRON,LUIS ARMANDO,OFICIAL DE PESCA
