main_ID,Año,Estado,Incautadas,Tipo
1,2009,AGUASCALIENTES,149,ARTE PESCA
2,2009,BAJA CALIFORNIA,1296,ARTE PESCA
3,2009,BAJA CALIFORNIA SUR,679,ARTE PESCA
4,2009,CAMPECHE,1940,ARTE PESCA
5,2009,CHIAPAS,264,ARTE PESCA
6,2009,CHIHUAHUA,131,ARTE PESCA
7,2009,COAHUILA,7,ARTE PESCA
8,2009,COLIMA,265,ARTE PESCA
9,2009,DISTRITO FEDERAL,0,ARTE PESCA
10,2009,DURANGO,30,ARTE PESCA
11,2009,ESTADO DE MEXICO,25,ARTE PESCA
12,2009,GUANAJUATO,16,ARTE PESCA
13,2009,GUERRERO,275,ARTE PESCA
14,2009,HIDALGO,505,ARTE PESCA
15,2009,JALISCO,2552,ARTE PESCA
16,2009,MICHOACAN,99,ARTE PESCA
17,2009,MORELOS,33,ARTE PESCA
18,2009,NAYARIT,1873,ARTE PESCA
19,2009,NUEVO LEON,5,ARTE PESCA
20,2009,OAXACA,248,ARTE PESCA
21,2009,PUEBLA,8,ARTE PESCA
22,2009,QUERETARO,348,ARTE PESCA
23,2009,QUINTANA ROO,28,ARTE PESCA
24,2009,SAN LUIS POTOSI,10,ARTE PESCA
25,2009,SINALOA,645,ARTE PESCA
26,2009,SONORA,224,ARTE PESCA
27,2009,TABASCO,44,ARTE PESCA
28,2009,TAMAULIPAS,1556,ARTE PESCA
29,2009,TLAXCALA,11,ARTE PESCA
30,2009,VERACRUZ,2015,ARTE PESCA
31,2009,YUCATAN,355,ARTE PESCA
32,2009,ZACATECAS,4,ARTE PESCA
33,2009,AGUASCALIENTES,0,EMBARCACIONES
34,2009,BAJA CALIFORNIA,37,EMBARCACIONES
35,2009,BAJA CALIFORNIA SUR,90,EMBARCACIONES
36,2009,CAMPECHE,67,EMBARCACIONES
37,2009,CHIAPAS,10,EMBARCACIONES
38,2009,CHIHUAHUA,3,EMBARCACIONES
39,2009,COAHUILA,2,EMBARCACIONES
40,2009,COLIMA,1,EMBARCACIONES
41,2009,DISTRITO FEDERAL,0,EMBARCACIONES
42,2009,DURANGO,0,EMBARCACIONES
43,2009,ESTADO DE MEXICO,0,EMBARCACIONES
44,2009,GUANAJUATO,5,EMBARCACIONES
45,2009,GUERRERO,8,EMBARCACIONES
46,2009,HIDALGO,1,EMBARCACIONES
47,2009,JALISCO,5,EMBARCACIONES
48,2009,MICHOACAN,3,EMBARCACIONES
49,2009,MORELOS,0,EMBARCACIONES
50,2009,NAYARIT,37,EMBARCACIONES
51,2009,NUEVO LEON,0,EMBARCACIONES
52,2009,OAXACA,4,EMBARCACIONES
53,2009,PUEBLA,0,EMBARCACIONES
54,2009,QUERETARO,4,EMBARCACIONES
55,2009,QUINTANA ROO,12,EMBARCACIONES
56,2009,SAN LUIS POTOSI,0,EMBARCACIONES
57,2009,SINALOA,60,EMBARCACIONES
58,2009,SONORA,34,EMBARCACIONES
59,2009,TABASCO,14,EMBARCACIONES
60,2009,TAMAULIPAS,25,EMBARCACIONES
61,2009,TLAXCALA,4,EMBARCACIONES
62,2009,VERACRUZ,65,EMBARCACIONES
63,2009,YUCATAN,10,EMBARCACIONES
64,2009,ZACATECAS,1,EMBARCACIONES
65,2009,AGUASCALIENTES,0,VEHICULOS
66,2009,BAJA CALIFORNIA,11,VEHICULOS
67,2009,BAJA CALIFORNIA SUR,51,VEHICULOS
68,2009,CAMPECHE,15,VEHICULOS
69,2009,CHIAPAS,0,VEHICULOS
70,2009,CHIHUAHUA,0,VEHICULOS
71,2009,COAHUILA,0,VEHICULOS
72,2009,COLIMA,0,VEHICULOS
73,2009,DISTRITO FEDERAL,0,VEHICULOS
74,2009,DURANGO,0,VEHICULOS
75,2009,ESTADO DE MEXICO,0,VEHICULOS
76,2009,GUANAJUATO,0,VEHICULOS
77,2009,GUERRERO,3,VEHICULOS
78,2009,HIDALGO,0,VEHICULOS
79,2009,JALISCO,0,VEHICULOS
80,2009,MICHOACAN,0,VEHICULOS
81,2009,MORELOS,0,VEHICULOS
82,2009,NAYARIT,16,VEHICULOS
83,2009,NUEVO LEON,0,VEHICULOS
84,2009,OAXACA,2,VEHICULOS
85,2009,PUEBLA,0,VEHICULOS
86,2009,QUERETARO,3,VEHICULOS
87,2009,QUINTANA ROO,1,VEHICULOS
88,2009,SAN LUIS POTOSI,0,VEHICULOS
89,2009,SINALOA,19,VEHICULOS
90,2009,SONORA,30,VEHICULOS
91,2009,TABASCO,6,VEHICULOS
92,2009,TAMAULIPAS,1,VEHICULOS
93,2009,TLAXCALA,1,VEHICULOS
94,2009,VERACRUZ,17,VEHICULOS
95,2009,YUCATAN,2,VEHICULOS
96,2009,ZACATECAS,0,VEHICULOS
97,2010,AGUASCALIENTES,203,ARTE PESCA
98,2010,BAJA CALIFORNIA,1121,ARTE PESCA
99,2010,BAJA CALIFORNIA SUR,203,ARTE PESCA
100,2010,CAMPECHE,1415,ARTE PESCA
101,2010,CHIAPAS,310,ARTE PESCA
102,2010,CHIHUAHUA,208,ARTE PESCA
103,2010,COAHUILA,45,ARTE PESCA
