id,ano,estado,beneficiario,rnpa,municipio,localidad,tipo_monto,monto,cod_inegi_localidad,cod_inegi_municipio
1,2011,SONORA,"ACUACULTURA SANTA FE, SA DE CV",2605001276,HERMOSILLO,HERMOSILLO,Estatal,414801,026030001,026030
2,2011,SONORA,"ACUACULTURA SANTA FE, SA DE CV",2605001276,HERMOSILLO,HERMOSILLO,Federal,1728339,026030001,026030
3,2011,SONORA,"ACUICOLA BOCA, SA DE CV",2602002350,CAJEME,CIUDAD OBREGON,Estatal,140315,026018001,026018
4,2011,SONORA,"ACUICOLA BOCA, SA DE CV",2602002350,CAJEME,CIUDAD OBREGON,Federal,584645,026018001,026018
5,2011,SONORA,"ACUICOLA LA BORBOLLA, SA DE CV",2611001310,HERMOSILLO,HERMOSILLO,Estatal,168711,026030001,026030
6,2011,SONORA,"ACUICOLA LA BORBOLLA, SA DE CV",2611001310,HERMOSILLO,HERMOSILLO,Federal,702961,026030001,026030
7,2011,SONORA,"ACUICOLA MARRION, SA DE CV",2611002235,HERMOSILLO,HERMOSILLO,Estatal,124314,026030001,026030
8,2011,SONORA,"ACUICOLA MARRION, SA DE CV",2611002235,HERMOSILLO,HERMOSILLO,Federal,517974,026030001,026030
9,2011,SONORA,"ACUICOLA SAN FERNANDO, SA DE CV",2605001102,HERMOSILLO,HERMOSILLO,Estatal,132953,026030001,026030
10,2011,SONORA,"ACUICOLA SAN FERNANDO, SA DE CV",2605001102,HERMOSILLO,HERMOSILLO,Federal,553971,026030001,026030
11,2011,SONORA,"ACUICOLA SAYRI, SA DE CV",2611001344,HERMOSILLO,HERMOSILLO,Estatal,524224,026030001,026030
12,2011,SONORA,"ACUICOLA SAYRI, SA DE CV",2611001344,HERMOSILLO,HERMOSILLO,Federal,2184266,026030001,026030
13,2011,SONORA,"ACUICOLA SELECTA, SA DE CV",2605001110,HERMOSILLO,HERMOSILLO,Estatal,350420,026030001,026030
14,2011,SONORA,"ACUICOLA SELECTA, SA DE CV",2605001110,HERMOSILLO,HERMOSILLO,Federal,1460085,026030001,026030
15,2011,SONORA,"ACUICOLA SOID, SA DE CV",2604011763,HERMOSILLO,HERMOSILLO,Estatal,313707,026030001,026030
16,2011,SONORA,"ACUICOLA SOID, SA DE CV",2604011763,HERMOSILLO,HERMOSILLO,Federal,1307111,026030001,026030
17,2011,SONORA,"EL CAMARON DORADO, SA DE CV",2609001033,CAJEME,CIUDAD OBREGON,Estatal,139764,026018001,026018
18,2011,SONORA,"EL CAMARON DORADO, SA DE CV",2609001033,CAJEME,CIUDAD OBREGON,Federal,582349,026018001,026018
19,2011,SONORA,"GRAN KINO SINALOENSE, SA DE CV",2611001088,HERMOSILLO,HERMOSILLO,Estatal,210252,026030001,026030
20,2011,SONORA,"GRAN KINO SINALOENSE, SA DE CV",2611001088,HERMOSILLO,HERMOSILLO,Federal,876051,026030001,026030
21,2011,SONORA,"GRANJAS AQUANOVA, SA DE CV",2611002250,HERMOSILLO,HERMOSILLO,Estatal,451451,026030001,026030
22,2011,SONORA,"GRANJAS AQUANOVA, SA DE CV",2611002250,HERMOSILLO,HERMOSILLO,Federal,1881045,026030001,026030
23,2011,SONORA,"GUAY MAR ACUICOLA, SA DE CV",2605001417,HERMOSILLO,HERMOSILLO,Estatal,963970,026030001,026030
24,2011,SONORA,"GUAY MAR ACUICOLA, SA DE CV",2605001417,HERMOSILLO,HERMOSILLO,Federal,4016542,026030001,026030
25,2011,SONORA,"KINO ACUACULTORES, SA DE CV",2611000841,HERMOSILLO,HERMOSILLO,Estatal,132953,026030001,026030
26,2011,SONORA,"KINO ACUACULTORES, SA DE CV",2611000841,HERMOSILLO,HERMOSILLO,Federal,553971,026030001,026030
27,2011,SONORA,"KIWIS ACUACULTORES, S.P.R. DE  R.L.",2611002227,HERMOSILLO,HERMOSILLO,Estatal,134112,026030001,026030
28,2011,SONORA,"KIWIS ACUACULTORES, S.P.R. DE  R.L.",2611002227,HERMOSILLO,HERMOSILLO,Federal,558798,026030001,026030
29,2011,SONORA,"M&M ACUACULTORES, S DE P. R. DE R. L.",2611001336,HERMOSILLO,HERMOSILLO,Estatal,175395,026030001,026030
30,2011,SONORA,"M&M ACUACULTORES, S DE P. R. DE R. L.",2611001336,HERMOSILLO,HERMOSILLO,Federal,730813,026030001,026030
31,2011,SONORA,"MARICULTURA DEL PACIFICO, SA DE CV",2508006547,HERMOSILLO,HERMOSILLO,Estatal,383239,026030001,026030
32,2011,SONORA,"MARICULTURA DEL PACIFICO, SA DE CV",2508006547,HERMOSILLO,HERMOSILLO,Federal,1596830,026030001,026030
33,2011,SONORA,"OASIS ACUICOLA, SA DE CV",2611000973,HERMOSILLO,HERMOSILLO,Estatal,39420,026030001,026030
34,2011,SONORA,"OASIS ACUICOLA, SA DE CV",2611000973,HERMOSILLO,HERMOSILLO,Federal,164249,026030001,026030
