,id_x,ano,beneficiario,rfc,rnpa,estado_x,municipio_x,localidad_x,monto,cod_inegi_municipio_x,cod_inegi_localidad_x,id_y,tipo,nombre,fecha_registro,tipo_persona,representante_legal,estado_y,municipio_y,localidad_y,inicio,cod_inegi_localidad_y,cod_inegi_municipio_y
0,1,2011,11 DE DICIEMBRE DE 1996 SPR DE RI,ODM971201ST1,2602001881.0,SONORA,CAJEME,CIUDAD OBREGON,300000,26018.0,26018001.0,19971,ACUACULTURA,11 DE DICIEMBRE DE 1996 SPR DE RI,24/02/16,MORAL,ERNESTO ALONSO GARMENDIA NUÑEZ,SONORA,CAJEME,CIUDAD OBREGON,01/06/1998,26018001.0,26018.0
924,925,2012,"11 DE DICIEMBRE DE 1996, S.P.R. DE R.I.",ODM971201ST1,2602001881.0,SONORA,SAN IGNACIO RIO MUERTO,LOS MEDANOS (LOS MELAGOS),268800,26072.0,26072186.0,19971,ACUACULTURA,11 DE DICIEMBRE DE 1996 SPR DE RI,24/02/16,MORAL,ERNESTO ALONSO GARMENDIA NUÑEZ,SONORA,CAJEME,CIUDAD OBREGON,01/06/1998,26018001.0,26018.0
1716,1717,2013,11 DE DICIEMBRE DE 1996 SPR DE RI,ODM971201ST1,2602001881.0,SONORA,SAN IGNACIO RIO MUERTO,LOS MEDANOS (LOS MELAGOS),216000,26072.0,26072186.0,19971,ACUACULTURA,11 DE DICIEMBRE DE 1996 SPR DE RI,24/02/16,MORAL,ERNESTO ALONSO GARMENDIA NUÑEZ,SONORA,CAJEME,CIUDAD OBREGON,01/06/1998,26018001.0,26018.0
4176,4177,2014,11 DE DICIEMBRE DE 1996 SPR DE RI,,2602001881.0,SONORA,CAJEME,CIUDAD OBREGON,1200,26018.0,26018001.0,19971,ACUACULTURA,11 DE DICIEMBRE DE 1996 SPR DE RI,24/02/16,MORAL,ERNESTO ALONSO GARMENDIA NUÑEZ,SONORA,CAJEME,CIUDAD OBREGON,01/06/1998,26018001.0,26018.0
4980,4981,2015,11 DE DICIEMBRE DE 1996 SPR DE RI,,2602001881.0,SONORA,CAJEME,CIUDAD OBREGÓN," 111,736.00 ",26018.0,,19971,ACUACULTURA,11 DE DICIEMBRE DE 1996 SPR DE RI,24/02/16,MORAL,ERNESTO ALONSO GARMENDIA NUÑEZ,SONORA,CAJEME,CIUDAD OBREGON,01/06/1998,26018001.0,26018.0
8,9,2011,ACUACULTIVO EL TORAL SA DE CV,ATO990616,2801000882.0,TAMAULIPAS,TAMPICO,TAMPICO,296000,28038.0,28038001.0,15221,ACUACULTURA,ACUACULTIVO EL TORAL SA DE CV,25/04/17,MORAL,JOSE ALBERTO ELIZONDO OCAMPO,TAMAULIPAS,ALDAMA,LAS GRANADILLAS,18/08/2011,28002357.0,28002.0
932,933,2012,"ACUACULTIVO EL TORAL, S.A. DE C.V.",ATO990616,2801000882.0,TAMAULIPAS,ALDAMA,ALDAMA,148000,28002.0,28002001.0,15221,ACUACULTURA,ACUACULTIVO EL TORAL SA DE CV,25/04/17,MORAL,JOSE ALBERTO ELIZONDO OCAMPO,TAMAULIPAS,ALDAMA,LAS GRANADILLAS,18/08/2011,28002357.0,28002.0
1724,1725,2013,"ACUACULTIVO EL TORAL, S.A. DE C.V.",ATO990616K55,2801000882.0,TAMAULIPAS,TAMPICO,TAMPICO,159408,28038.0,28038001.0,15221,ACUACULTURA,ACUACULTIVO EL TORAL SA DE CV,25/04/17,MORAL,JOSE ALBERTO ELIZONDO OCAMPO,TAMAULIPAS,ALDAMA,LAS GRANADILLAS,18/08/2011,28002357.0,28002.0
4017,4018,2014,ACUACULTIVO EL TORAL SA DE CV,,2801000882.0,TAMAULIPAS,TAMPICO,TAMPICO,0,28038.0,28038001.0,15221,ACUACULTURA,ACUACULTIVO EL TORAL SA DE CV,25/04/17,MORAL,JOSE ALBERTO ELIZONDO OCAMPO,TAMAULIPAS,ALDAMA,LAS GRANADILLAS,18/08/2011,28002357.0,28002.0
5160,5161,2015,ACUACULTIVO EL TORAL SA DE CV,,2801000882.0,TAMAULIPAS,TAMPICO,TAMPICO," 140,000.00 ",28038.0,28038001.0,15221,ACUACULTURA,ACUACULTIVO EL TORAL SA DE CV,25/04/17,MORAL,JOSE ALBERTO ELIZONDO OCAMPO,TAMAULIPAS,ALDAMA,LAS GRANADILLAS,18/08/2011,28002357.0,28002.0
