"nombre","nuevo_nombre"
"AGUASCALIENTES","AGUASCALIENTES"
"BAJA CALIFORNIA","BAJA CALIFORNIA"
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR"
"BAJA CALIFORNIA SUR ","BAJA CALIFORNIA SUR"
"CAMPECHE","CAMPECHE"
"CAMPECHE ","CAMPECHE"
"CHIAPAS","CHIAPAS"
"CHIHUAHUA","CHIHUAHUA"
"COAHUILA","COAHUILA"
"COLIMA","COLIMA"
"COLIMA ","COLIMA"
"DISTRITO FEDERAL","MEXICO"
"DURANGO","DURANGO"
"ESTADO DE MEXICO","MEXICO"
"GUANAJUATO","GUANAJUATO"
"GUERRERO","GUERRERO"
"GUERRERO ","GUERRERO"
"HIDALGO","HIDALGO"
"HIDALGO ","HIDALGO"
"INALOA","INALOA"
"JALISCO","JALISCO"
"MEXICO","MEXICO"
"MICHOACAN","MICHOACAN"
"MICHOACAN ","MICHOACAN"
"MICHOACAN DE OCAMPO","MICHOACAN"
"MICHOACÁN","MICHOACAN"
"MORELOS","MORELOS"
"NAYARIT","NAYARIT"
"NAYARIT ","NAYARIT"
"NO DISPONIBLE",
"NUEVO LEON","NUEVO LEON"
"OAXACA","OAXACA"
"PUEBLA","PUEBLA"
"QUERETARO","QUERETARO"
"QUERETARO DE ARTEAGA","QUERETARO"
"QUERÉTARO","QUERETARO"
"QUINTANA ROO","QUINTANA ROO"
"QUINTANA ROO ","QUINTANA ROO"
"SAN LUIS POTOSI","SAN LUIS POTOSI"
"SINALOA","SINALOA"
"SONORA","SONORA"
"SONORA ","SONORA"
"TABASCO","TABASCO"
"TABASCO ","TABASCO"
"TAMAULIPAS","TAMAULIPAS"
"TAMAULIPAS ","TAMAULIPAS"
"TLAXCALA","TLAXCALA"
"VERACRUZ","VERACRUZ"
"VERACRUZ DE IGNACIO DE LA LLAVE","VERACRUZ"
"YUCATAN","YUCATAN"
"YUCATAN ","YUCATAN"
"YUCATÁN","YUCATAN"
"ZACATECAS","ZACATECAS"
