main_ID,Estado,Año,Actas
1,AGUASCALIENTES,2009,41
2,AGUASCALIENTES,2010,41
3,AGUASCALIENTES,2011,62
4,AGUASCALIENTES,2012,125
5,AGUASCALIENTES,2013,124
6,BAJA CALIFORNIA,2009,191
7,BAJA CALIFORNIA,2010,422
8,BAJA CALIFORNIA,2011,426
9,BAJA CALIFORNIA,2012,623
10,BAJA CALIFORNIA,2013,1169
11,BAJA CALIFORNIA SUR,2009,328
12,BAJA CALIFORNIA SUR,2010,229
13,BAJA CALIFORNIA SUR,2011,553
14,BAJA CALIFORNIA SUR,2012,175
15,BAJA CALIFORNIA SUR,2013,1933
16,CAMPECHE,2009,548
17,CAMPECHE,2010,620
18,CAMPECHE,2011,519
19,CAMPECHE,2012,553
20,CAMPECHE,2013,652
21,CHIAPAS,2009,83
22,CHIAPAS,2010,79
23,CHIAPAS,2011,255
24,CHIAPAS,2012,542
25,CHIAPAS,2013,1412
26,CHIHUAHUA,2009,52
27,CHIHUAHUA,2010,66
28,CHIHUAHUA,2011,153
29,CHIHUAHUA,2012,179
30,CHIHUAHUA,2013,234
31,COAHUILA,2009,33
32,COAHUILA,2010,38
33,COAHUILA,2011,0
34,COAHUILA,2012,227
35,COAHUILA,2013,126
36,COLIMA,2009,108
37,COLIMA,2010,99
38,COLIMA,2011,132
39,COLIMA,2012,122
40,COLIMA,2013,263
41,DISTRITO FEDERAL,2009,230
42,DISTRITO FEDERAL,2010,289
43,DISTRITO FEDERAL,2011,301
44,DISTRITO FEDERAL,2012,492
45,DISTRITO FEDERAL,2013,385
46,DURANGO,2009,14
47,DURANGO,2010,57
48,DURANGO,2011,62
49,DURANGO,2012,193
50,DURANGO,2013,106
51,ESTADO DE MEXICO,2009,179
52,ESTADO DE MEXICO,2010,121
53,ESTADO DE MEXICO,2011,141
54,ESTADO DE MEXICO,2012,193
55,ESTADO DE MEXICO,2013,281
56,GUANAJUATO,2009,51
57,GUANAJUATO,2010,94
58,GUANAJUATO,2011,74
59,GUANAJUATO,2012,177
60,GUANAJUATO,2013,285
61,GUERRERO,2009,105
62,GUERRERO,2010,135
63,GUERRERO,2011,232
64,GUERRERO,2012,263
65,GUERRERO,2013,267
66,HIDALGO,2009,112
67,HIDALGO,2010,130
68,HIDALGO,2011,184
69,HIDALGO,2012,341
70,HIDALGO,2013,323
71,JALISCO,2009,420
72,JALISCO,2010,383
73,JALISCO,2011,627
74,JALISCO,2012,417
75,JALISCO,2013,1102
76,MICHOACAN,2009,141
77,MICHOACAN,2010,135
78,MICHOACAN,2011,356
79,MICHOACAN,2012,1701
80,MICHOACAN,2013,770
81,MORELOS,2009,57
82,MORELOS,2010,193
83,MORELOS,2011,28
84,MORELOS,2012,18
85,MORELOS,2013,89
86,NAYARIT,2009,289
87,NAYARIT,2010,191
88,NAYARIT,2011,358
89,NAYARIT,2012,2088
90,NAYARIT,2013,1857
91,NUEVO LEON,2009,19
92,NUEVO LEON,2010,40
93,NUEVO LEON,2011,45
94,NUEVO LEON,2012,53
95,NUEVO LEON,2013,72
96,OAXACA,2009,126
97,OAXACA,2010,566
98,OAXACA,2011,455
99,OAXACA,2012,696
100,OAXACA,2013,556
101,PUEBLA,2009,40
102,PUEBLA,2010,60
103,PUEBLA,2011,87
104,PUEBLA,2012,97
105,PUEBLA,2013,152
106,QUERETARO,2009,94
107,QUERETARO,2010,61
108,QUERETARO,2011,38
109,QUERETARO,2012,23
110,QUERETARO,2013,8
111,QUINTANA ROO,2009,165
112,QUINTANA ROO,2010,179
113,QUINTANA ROO,2011,163
114,QUINTANA ROO,2012,401
115,QUINTANA ROO,2013,563
116,SAN LUIS POTOSI,2009,58
117,SAN LUIS POTOSI,2010,46
118,SAN LUIS POTOSI,2011,53
119,SAN LUIS POTOSI,2012,72
120,SAN LUIS POTOSI,2013,29
121,SINALOA,2009,359
122,SINALOA,2010,631
123,SINALOA,2011,1063
124,SINALOA,2012,3313
125,SINALOA,2013,2009
126,SONORA,2009,296
127,SONORA,2010,299
128,SONORA,2011,469
129,SONORA,2012,643
130,SONORA,2013,631
131,TABASCO,2009,196
132,TABASCO,2010,94
133,TABASCO,2011,150
134,TABASCO,2012,349
135,TABASCO,2013,439
136,TAMAULIPAS,2009,279
137,TAMAULIPAS,2010,84
138,TAMAULIPAS,2011,150
139,TAMAULIPAS,2012,654
140,TAMAULIPAS,2013,1089
141,TLAXCALA,2009,88
142,TLAXCALA,2010,150
143,TLAXCALA,2011,103
144,TLAXCALA,2012,72
145,TLAXCALA,2013,149
146,VERACRUZ,2009,739
147,VERACRUZ,2010,1032
148,VERACRUZ,2011,1360
149,VERACRUZ,2012,1427
150,VERACRUZ,2013,1558
151,YUCATAN,2009,659
152,YUCATAN,2010,230
153,YUCATAN,2011,616
154,YUCATAN,2012,616
155,YUCATAN,2013,1138
156,ZACATECAS,2009,26
157,ZACATECAS,2010,31
158,ZACATECAS,2011,28
159,ZACATECAS,2012,147
160,ZACATECAS,2013,136
