ID,COD_INEGI,CVE_ENT,ENT,CVE_MUN,MUN,POB_TOT,VP,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL_5000,PO2SM,OVSD,OVSDSE,IM,GM,IND0A100,LUG_NAC,LUGAR_EST,ANO
1,11001,1,Aguascalientes,1001,Aguascalientes,877190,0,2.06,9.54,0.31,0.16,0.72,18.01,0.63,8.73,31.13,0,-0,-1676,"Muy bajo",0,2408,11,2015
2,11001,1,Aguascalientes,1001," Aguascalientes                                   ",797010,0,2.59,11.48,0.49,0.31,0.77,25.25,1.42,8.73,29.9,0,-0,-1768,"Muy bajo",7.69,2409,0,2010
3,11001,1,Aguascalientes,1001,Aguascalientes,723043,0,3.19,13.61,0.77,0.54,1.54,28.86,1.7,8.21,28.37,0,-0,-1831,"Muy bajo",0,2419,11,2005
4,11001,1,Aguascalientes,1001,Aguascalientes,643419,0,3.86,18.04,0,1.12,0.88,32.04,2.22,7.67,37.24,0,1.5,-1871,"Muy bajo",0,2408,11,2000
5,11001,1,Aguascalientes,1001,Aguascalientes,582827,121790,4.53,-0,0,1.62,1.14,-0,-0,0,-0,2.12,-0,-1735,"Muy bajo",0,2393,0,1995
6,11001,1,Aguascalientes,1001,Aguascalientes,506274,0,6.05,27.99,6.55,3.64,3,45.65,5.65,11.47,58.36,0,-0,-1833,"Muy bajo",0,2341,9,1990
7,11005,1,Aguascalientes,1005,"Jesús María",120405,0,3.26,13.73,0.44,0.37,0.73,27.02,1.03,45.17,33.77,0,-0,-1256,"Muy bajo",0,2229,10,2015
8,11005,1,Aguascalientes,1005," Jesús María                                      ",99590,0,3.76,18.21,1.26,1.17,1.43,39.16,2.59,45.17,31.15,0,-0,-1262,"Muy bajo",13411,2202,0,2010
9,11005,1,Aguascalientes,1005,"Jesús María",82623,0,5.33,23.64,1.57,1.4,2.48,46.43,3.07,41.58,36.01,0,-0,-1234,"Muy bajo",0,2188,9,2005
10,11005,1,Aguascalientes,1005,"Jesús María",64097,0,6.63,32.89,0,2.72,1.73,53.76,7.35,42.28,47.27,0,3.83,-1141,Bajo,0,2104,9,2000
11,11003,1,Aguascalientes,1003,Calvillo,56048,0,4.8,24.18,0.55,0.41,0.86,30.53,0.93,50.76,61.95,0,-0,-698,Bajo,0,1799,5,2015
12,11005,1,Aguascalientes,1005,"Jesús María",54476,9660,8.3,-0,0,5.57,3.11,-0,-0,0,-0,7.75,-0,-972,Bajo,0,1975,0,1995
13,11003,1,Aguascalientes,1003," Calvillo                                         ",54136,0,6.19,28.88,0.79,0.87,1.8,39.79,2.42,50.76,60.08,0,-0,-754,Bajo,19152,1836,0,2010
14,11007,1,Aguascalientes,1007,"Rincón de Romos",53866,0,3.53,14.75,1.97,0.52,1.52,31.61,0.91,43.06,43.44,0,-0,-1045,Bajo,0,2090,7,2015
15,11003,1,Aguascalientes,1003,Calvillo,51658,9537,7.49,-0,0,3.49,4.25,-0,-0,0,-0,8.4,-0,-1105,Bajo,0,2057,0,1995
16,11003,1,Aguascalientes,1003,Calvillo,51291,0,8.2,40.55,0,2.23,2.66,49.21,4.74,53.04,73.34,0,3.61,-811,Bajo,0,1870,6,2000
17,11003,1,Aguascalientes,1003,Calvillo,50183,0,8.15,34.46,1.36,0.84,2.28,43.6,3.03,50.61,55.87,0,-0,-875,Bajo,0,1935,6,2005
18,11007,1,Aguascalientes,1007," Rincón de Romos                                  ",49156,0,4.7,19.22,2.23,0.8,1.22,42.29,3.68,43.06,46.42,0,-0,-1035,Bajo,15982,2056,0,2010
