id,tipo,ano,estado,municipio,localidad,solicitudes_atendidas,solicitudes_recibidas,cod_inegi_localidad,cod_inegi_municipio
1,GASOLINA,2014,"BAJA CALIFORNIA",ENSENADA,"3 PARCELA",1,1,,002001
2,GASOLINA,2014,"BAJA CALIFORNIA",ENSENADA,"BAHIA DE LOS ANGELES",1,1,002001046,002001
3,GASOLINA,2014,"BAJA CALIFORNIA",ENSENADA,"CORONEL ESTEBAN CANTU",7,7,002001184,002001
4,GASOLINA,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO RUBEN JARAMILLO",7,7,002001200,002001
5,GASOLINA,2014,"BAJA CALIFORNIA",ENSENADA,"EL SAUZAL",1,1,,002001
6,GASOLINA,2014,"BAJA CALIFORNIA",ENSENADA,ENSENADA,17,17,002001001,002001
7,GASOLINA,2014,"BAJA CALIFORNIA",ENSENADA,"ISLA DE CEDROS",6,6,002001124,002001
8,GASOLINA,2014,"BAJA CALIFORNIA",ENSENADA,"SANTO TOMAS",3,3,002001242,002001
9,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"CABO SAN LAZARO (ISLA MAGDALENA)",1,1,,003001
10,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD CONSTITUCION",8,8,003001001,003001
11,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD CONSTITUCION",0,10,003001001,003001
12,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EJIDO SANTO DOMINGO, SIN NOMBRE",0,1,,003001
13,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CORRALITO",1,1,003001482,003001
14,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CORRALITO",0,1,003001482,003001
15,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL PORVENIR",1,1,003001217,003001
16,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL VOLCAN (ISLA MAGDALENA)",13,13,,003001
17,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA PURISIMA",0,2,003001244,003001
18,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA VIRGENCITA (ISLA MAGDALENA)",1,1,,003001
19,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LAS BARRANCAS",0,1,003001049,003001
20,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LAS BARRANCAS",24,24,003001049,003001
21,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ADOLFO LOPEZ MATEOS",0,12,003001003,003001
22,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ADOLFO LOPEZ MATEOS",31,31,003001003,003001
23,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ALCATRAZ (ISLA SANTA MARGARITA)",0,8,,003001
24,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO MAGDALENA (BAHIA MAGDALENA)",0,7,,003001
25,GASOLINA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO MAGDALENA (BAHIA MAGDALENA)",10,10,,003001
